,date,precipitation,MA_2
208,5/31/15,96.7,87.7
209,6/30/15,5,50.8
210,7/31/15,12.4,8.7
211,8/31/15,0,6.2
212,9/30/15,43.5,21.7
213,10/31/15,67.5,55.5
214,11/30/15,184.3,125.9
215,12/31/15,152.3,168.3
216,1/31/16,328.9,240.6
217,2/29/16,175.7,252.3
218,3/31/16,113.1,144.4
219,4/30/16,26.2,69.6
220,5/31/16,0,13.1
221,6/30/16,75.3,37.6
222,7/31/16,0,37.6
223,8/31/16,0.4,0.2
224,9/30/16,65.4,32.9
225,10/31/16,70.7,68
226,11/30/16,273,171.8
227,12/31/16,244.6,258.8
228,1/31/17,107,175.8
229,2/28/17,142.6,124.8
230,3/31/17,106.5,124.5
231,4/30/17,51.6,79
232,5/31/17,20.8,36.2
233,6/30/17,19.8,20.3
234,7/31/17,0.5,10.1
235,8/31/17,0,0.2
236,9/30/17,46.6,23.3
237,10/31/17,148.2,97.4
238,11/30/17,185.6,166.9
